,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,price,weekly_price,monthly_price,neighbourhood_cleansed_index,neighbourhood_group_cleansed_index,property_type_index
50,Embajadores,Centro,28012.0,40.41034412823347,-3.6983554043291647,1,Apartment,28.0,196.0,840.0,12,1,0
51,Embajadores,Centro,28012.0,40.40814711591045,-3.7025353586253447,1,House,50.0,350.0,1200.0,12,1,4
52,Los Ángeles,Villaverde,28041.0,40.357354349892226,-3.696340177582604,1,Apartment,21.0,154.0,550.0,175,17,0
53,Embajadores,Centro,28012.0,40.40671957477672,-3.7011594890188975,1,Apartment,90.0,600.0,2700.0,12,1,0
54,Embajadores,Centro,28005.0,40.410427426854405,-3.707536976238048,1,Apartment,30.0,210.0,900.0,12,1,0
55,Cortes,Centro,28012.0,40.41493248011741,-3.7010472749621535,1,Apartment,69.0,483.0,2070.0,13,1,0
56,Embajadores,Centro,28012.0,40.40780502867367,-3.703253965565408,1,Apartment,38.0,200.0,550.0,12,1,0
57,Arapiles,Chamberí,28015.0,40.43627663542892,-3.705259718096712,1,Loft,65.0,445.0,1500.0,72,7,2
58,Embajadores,Centro,28012.0,40.412927956083614,-3.7010255161687913,1,Apartment,70.0,395.0,995.0,12,1,0
59,Puerta del Angel,Latina,28011.0,40.40915441031413,-3.724158374521194,1,Apartment,22.0,140.0,465.0,102,10,0
60,Cortes,Centro,28014.0,40.415152533080075,-3.700027336078485,1,Apartment,22.0,140.0,480.0,13,1,0
61,Universidad,Centro,28004.0,40.42480796136285,-3.7037371738469735,1,Apartment,90.0,630.0,2000.0,15,1,0
62,Sol,Centro,28013.0,40.419769277890666,-3.6999109520061007,1,Apartment,102.0,649.0,2369.0,16,1,0
63,Salvador,San Blas - Canillejas,28027.0,40.44574579419609,-3.6380079937690533,1,Apartment,75.0,480.0,1600.0,208,20,0
64,Universidad,Centro,28004.0,40.423422211541705,-3.7048737485507,1,Hostel,30.0,175.0,500.0,15,1,1
65,Universidad,Centro,28004.0,40.427617696174096,-3.7032309837652737,1,Serviced apartment,100.0,450.0,1300.0,15,1,5
66,Universidad,Centro,28004.0,40.429024794160156,-3.703977984822647,1,Serviced apartment,100.0,470.0,1300.0,15,1,5
67,Universidad,Centro,28004.0,40.42445309700753,-3.7053195899047937,1,Apartment,20.0,140.0,495.0,15,1,0
68,Justicia,Centro,28004.0,40.42396707582642,-3.6946300104736496,1,Other,90.0,650.0,2700.0,14,1,6
69,Justicia,Centro,28004.0,40.4233893816095,-3.694754634883886,1,Apartment,30.0,400.0,1300.0,14,1,0
70,Justicia,Centro,28004.0,40.42258720423627,-3.693944363849957,1,Apartment,30.0,350.0,1500.0,14,1,0
71,Justicia,Centro,28004.0,40.42396268955274,-3.6954519515651527,1,Apartment,89.0,623.0,2670.0,14,1,0
72,Sol,Centro,28012.0,40.415157193564035,-3.707310638370718,1,Apartment,79.0,550.0,1600.0,16,1,0
73,Palacio,Centro,28005.0,40.41088115021226,-3.7109764948097417,1,Apartment,65.0,490.0,1300.0,11,1,0
74,Universidad,Centro,28004.0,40.42537890847814,-3.7050514552991785,1,Apartment,30.0,210.0,900.0,15,1,0
