,ACONDICIONAMIENTOVEHICULOS,ACONDICIONAMIENTOVIAJEROS,BARRIO,CALIFICADORPORTAL,CARRETERA,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,CODIGOENTIDAD,CODIGOESTACION,CODIGOINTERCAMBIADOR,CODIGOMUNICIPIO,CODIGONUCLEO,CODIGOPOSTAL,CODIGOPROVINCIA,CODIGOVIA,CORONA123,CORONATARIFARIA,CORREDOR,DENOMINACION,DENOMINACIONABREVIADA,DENOMINACION_SAE,DISTRITO,ENCUESTAAFOROS,ENCUESTADOMICILIARIA,FECHAACTUAL,FECHAALTA,FECHAFIN,FECHAINICIO,GRADOACCESIBILIDAD,HOJA25000,IDESTACION,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LATITUD,LINEAS,LONGITUD,MODO,MODOINTERCAMBIADOR,NOMBREVIA,NUMEROPORTAL,OBJECTID,OBSERVACIONES,PARTICULA,SECCIONCENSAL,SECTOR,SECTORURBANO,SITUACION,SITUACIONCALLE,TESELA,TIPO,TIPONUMERO,TIPOVIA,X,Y,ZONATRANSPORTE
2758,3,2,154,A,,,230,07901,2043,,079,,28027,28,00582,2,A,1,ARTURO SORIA-JUAN PEREZ ZUÑIGA,"Arturo Soria, 65",,15,,409,20170920,20010709,,19861001,T,,6_2043,,,40.44493890881007,70,-3.646193939656186,6,,Arturo Soria,67,2759,,de,128,4,,S,,T0795952,U,N,Calle,445310.0,4477551.0,079-15-409
2759,3,2,207,,,,2955,07901,2154,,079,,28022,28,00132,2,A,2,ALCALA-ESFINGE,"Alcalá, 598",,20,,547,20170920,20010709,,19861001,T,,6_2154,,,40.44735490217805,"77, 140, N5",-3.6110405932945957,6,,Alcalá,606,2760,,de,092,,,S,,T0795491,U,N,Calle,448293.0,4477798.0,079-20-547
2760,3,2,171,,,,2847,07901,2202,,079,,28021,28,05160,2,A,4,RESINA-SAN EUSTAQUIO,"Resina, 18",,17,,484,20170920,20010709,,19861001,T,,6_2202,,,40.336061895408236,79,-3.7007118171589197,6,,Resina,20,2761,,de la,106,3,,S,,,U,N,Calle,440591.0,4465501.0,079-17-484
2761,3,2,,,,,1717,07901,2256,,079,,28035,28,09363,2,A,7,CANTALEJO-CHAPINERIA,"Cantalejos, 6",,08,,170,20170920,20010709,,19861001,T,,6_2256,,,40.474591333452786,82,-3.738954570390456,6,,Cantalejo,8,2762,,de,,5,,S,,,U,N,Calle,437471.0,4480904.0,079-08-170
2762,3,2,4,,,,491,07901,287,133,079,,28010,28,00224,1,A,6,ALMAGRO-PZA.ALONSO MARTINEZ,"Almagro, 4",,07,,140,20170920,20010709,,19861001,T,,6_287,,,40.42809698439944,"7, N25, N26",-3.695110144023184,6,92.0,Almagro,2,2763,,de,75,,,S,,,U,N,Calle,441147.0,4475713.0,079-07-140
2763,3,2,091,,,,1650,07901,2872,,079,0790101,28039,28,09229,2,A,6,ALCALDE MARTIN ALZAGA-ARTAJONA,Alcalde Martín Alzaga frente al Nº 1,,09,,211,20170920,20010709,,19861001,T,,6_2872,,,40.462568632364906,"126, 127, 132, N21",-3.718229072050399,6,,Alcalde Martín de Alzaga,SN,2764,Frente al nº 5,del,001,5,,S,,,U,SN,Calle,439217.0,4479555.0,079-09-211
2764,3,2,154,,,,234,07901,2045,,079,,28027,28,00582,2,A,1,ARTURO SORIA-JOSE DEL HIERRO,"Arturo Soria, 33",,15,,409,20170920,20010709,,19861001,T,559-2,6_2045,,,40.442004187753845,70,-3.6412797862476767,6,,Arturo Soria,33,2765,,de,127,4,,S,,T0796206,U,N,Calle,445724.0,4477222.0,079-15-409
2765,3,2,117,,,,2434,07901,1567,,079,0790101,28025,28,00017,2,A,4,AV.ABRANTES-AV.OPORTO,"Av. de Abrantes, 2",,11,,294,20170920,20010709,,19861001,T,559-3,6_1567,,,40.38492182671512,"47, 247",-3.7220492708134656,6,,Abrantes,5,2766,,de,176,3,,S,,T07913257,U,N,Avda,438823.0,4470939.0,079-11-294
2766,3,2,117,,,,4661,07901,1594,,079,,28025,28,02068,2,A,4,BRAGANZA-VIA LUSITANA,"Braganza, 2",,11,,294,20170920,20010709,,19861001,T,559-3,6_1594,,,40.38427897482642,"47, 247",-3.721121304133364,6,,Estoril,2,2767,,de,177,3,,S,,T07913404,U,N,Calle,438901.0,4470867.0,079-11-294
2767,3,2,117,,,,2472,07901,1768,285,079,,28025,28,04426,2,A,4,AV.OPORTO-PORTALEGRE,"Av. de Oporto, 25",,11,,294,20170920,20010709,,19861001,T,559-3,6_1768,,,40.385306380808764,"55, 81, 247, N17",-3.7232732572180365,6,93.0,Oporto,25,2768,,de,176,,,S,,T07913257,U,N,Avda,438719.0,4470982.0,079-11-294
2768,3,2,112,,,,3135,07901,2768,36,079,0790101,28019,28,00460,2,A,4,ANTONIO LEYVA-PZA.FDEZ.LADREDA,"Antonio Leyva, 88",,11,,286,20170920,20010709,,19861001,T,559-3,6_2768,,,40.38604681363468,"55, 60, 116, N17",-3.7173961153816335,6,90.0,Antonio de Leyva,88,2769,,de,184,3,,S,,T07913075,U,N,Calle,439219.0,4471061.0,079-11-286
