ID;Nombre
11;Palacio
12;Embajadores
13;Cortes
14;Justicia
15;Universidad
16;Sol
21;Imperial
22;Acacias
23;Chopera
24;Legazpi
25;Delicias
26;Palos de Moguer
27;Atocha
31;Pacífico
32;Adelfas
33;Estrella
34;Ibiza
35;Jerónimos
36;Niño Jesús
41;Recoletos
42;Goya
43;Fuente del Berro
44;Guindalera
45;Lista
46;Castellana
51;El Viso
52;Prosperidad
53;Ciudad Jardín
54;Hispanoamérica
55;Nueva España
56;Castilla
61;Bellas Vistas
62;Cuatro Caminos
63;Castillejos
64;Almenara
65;Valdeacederas
66;Berruguete
71;Gaztambide
72;Arapiles
73;Trafalgar
74;Almagro
75;Ríos Rosas
76;Vallehermoso
81;El Pardo
82;Fuentelarreina
83;Peñagrande
84;Pilar
85;La Paz
86;Valverde
87;Mirasierra
88;El Goloso
91;Casa de Campo
92;Argüelles
93;Ciudad Universitaria
94;Valdezarza
95;Valdemarín
96;El Plantío
97;Aravaca
101;Los Cármenes
102;Puerta del Angel
103;Lucero
104;Aluche
105;Campamento
106;Cuatro Vientos
107;Las Águilas
111;Comillas
112;Opañel
113;San Isidro
114;Vista Alegre
115;Puerta Bonita
116;Buenavista
117;Abrantes
121;Orcasitas
122;Orcasur
123;San Fermín
124;Almendrales
125;Moscardó
126;Zofio
127;Pradolongo
131;Entrevías
132;San Diego
133;Palomeras Bajas
134;Palomeras Sureste
135;Portazgo
136;Numancia
141;Pavones
142;Horcajo
143;Marroquina
144;Media Legua
145;Fontarrón
146;Vinateros
151;Ventas
152;Pueblo Nuevo
153;Quintana
154;Concepción
155;San Pascual
156;San Juan Bautista
157;Colina
158;Atalaya
159;Costillares
161;Palomas
162;Piovera
163;Canillas
164;Pinar del Rey
165;Apóstol Santiago
166;Valdefuentes
171;San Andrés
172;San Cristóbal
173;Butarque
174;Los Rosales
175;Los Ángeles
181;Casco Histórico de Vallecas
182;Santa Eugenia
191;Casco Histórico de Vicálvaro
192;Ambroz
201;Simancas
202;Hellín
203;Amposta
204;Arcos
205;Rosas
206;Rejas
207;Canillejas
208;Salvador
211;Alameda de Osuna
212;Aeropuerto
213;Casco Histórico de Barajas
214;Timón
215;Corralejos
