Barrio;Anyo;Trimestre;Precio
Salamanca;2016;T3;16.1
Salamanca;2016;T4;16.7
Salamanca;2017;T1;17.3
Salamanca;2017;T2;17.3
Salamanca;2017;T3;18
Salamanca;2017;T4;18.5
Salamanca;2018;T1;18.7
Salamanca;2018;T2;-
Salamanca;2018;T3;-
Salamanca;2018;T4;-
Chamartín;2010;T1;13.25
Chamartín;2010;T2;13.28
Chamartín;2010;T3;13.31
Chamartín;2010;T4;13.05
Chamartín;2011;T1;13.18
Chamartín;2011;T2;13.2
Chamartín;2011;T3;13.26
Chamartín;2011;T4;13.09
Chamartín;2012;T1;12.72
Chamartín;2012;T2;12.36
Chamartín;2012;T3;12.19
Chamartín;2012;T4;12.08
Chamartín;2013;T1;11.9
Chamartín;2013;T2;11.7
Chamartín;2013;T3;11.7
Chamartín;2013;T4;11.9
Chamartín;2014;T1;12.3
Chamartín;2014;T2;12.3
Chamartín;2014;T3;12.2
Chamartín;2014;T4;12.4
Chamartín;2015;T1;12.6
Chamartín;2015;T2;12.5
Chamartín;2015;T3;12.9
Chamartín;2015;T4;13.2
Chamartín;2016;T1;13.6
Chamartín;2016;T2;13.9
Chamartín;2016;T3;14.3
Chamartín;2016;T4;14.1
Chamartín;2017;T1;15.1
Chamartín;2017;T2;15.5
Chamartín;2017;T3;16
Chamartín;2017;T4;15.9
Chamartín;2018;T1;16.3
Chamartín;2018;T2;-
Chamartín;2018;T3;-
Chamartín;2018;T4;-
Tetuán;2010;T1;11.9
Tetuán;2010;T2;11.92
Tetuán;2010;T3;12.09
Tetuán;2010;T4;11.94
Tetuán;2011;T1;11.79
Tetuán;2011;T2;11.81
Tetuán;2011;T3;11.47
Tetuán;2011;T4;11.6
Tetuán;2012;T1;11.49
Tetuán;2012;T2;11.47
Tetuán;2012;T3;11.29
Tetuán;2012;T4;10.99
Tetuán;2013;T1;10.8
Tetuán;2013;T2;10.7
Tetuán;2013;T3;10.7
Tetuán;2013;T4;10.6
Tetuán;2014;T1;11.2
Tetuán;2014;T2;11.1
Tetuán;2014;T3;11.1
Tetuán;2014;T4;11.3
Tetuán;2015;T1;11.4
Tetuán;2015;T2;11.8
Tetuán;2015;T3;12.5
Tetuán;2015;T4;12.5
Tetuán;2016;T1;12.9
Tetuán;2016;T2;12.8
Tetuán;2016;T3;13.9
Tetuán;2016;T4;15
Tetuán;2017;T1;14.5
Tetuán;2017;T2;14.2
Tetuán;2017;T3;14.9
Tetuán;2017;T4;15.3
Tetuán;2018;T1;15.1
Tetuán;2018;T2;-
Tetuán;2018;T3;-
Tetuán;2018;T4;-
Chamberí;2010;T1;13.69
Chamberí;2010;T2;13.69
Chamberí;2010;T3;13.48
Chamberí;2010;T4;13.44
Chamberí;2011;T1;13.41
Chamberí;2011;T2;13.45
Chamberí;2011;T3;13.26
Chamberí;2011;T4;13.03
Chamberí;2012;T1;13.05
Chamberí;2012;T2;13.26
Chamberí;2012;T3;12.68
Chamberí;2012;T4;12.39
Chamberí;2013;T1;12.4
Chamberí;2013;T2;12.3
Chamberí;2013;T3;12.3
Chamberí;2013;T4;12.2
Chamberí;2014;T1;13.4
Chamberí;2014;T2;13.2
Chamberí;2014;T3;13.2
Chamberí;2014;T4;13.5
Chamberí;2015;T1;13.6
Chamberí;2015;T2;13.5
Chamberí;2015;T3;14.1
Chamberí;2015;T4;14.6
Chamberí;2016;T1;14.8
Chamberí;2016;T2;15.2
Chamberí;2016;T3;15.9
Chamberí;2016;T4;17.3
Chamberí;2017;T1;16.7
Chamberí;2017;T2;16.5
Chamberí;2017;T3;17
Chamberí;2017;T4;17.1
Chamberí;2018;T1;17.6
Chamberí;2018;T2;-
Chamberí;2018;T3;-
Chamberí;2018;T4;-
