Barrio;Anyo;Intervenciones
Usera;2015;823
Puente de Vallecas;2015;998
Moratalaz;2015;106
Ciudad Lineal;2015;508
Hortaleza;2015;279
Villaverde;2015;580
Villa de Vallecas;2015;397
Vicálvaro;2015;363
San Blas/Canillejas;2015;439
Barajas;2015;212
Otras zonas;2015;10
Ciudad de Madrid;2016;12291
Centro;2016;2381
Arganzuela;2016;672
Retiro;2016;331
Salamanca;2016;864
Chamartín;2016;572
Tetuán;2016;488
Chamberí;2016;493
Fuencarral-El Pardo;2016;288
Moncloa-Aravaca;2016;336
Latina;2016;441
Carabanchel;2016;1247
Usera;2016;857
Puente de Vallecas;2016;820
Moratalaz;2016;141
Ciudad Lineal;2016;500
Hortaleza;2016;242
Villaverde;2016;503
Villa de Vallecas;2016;405
Vicálvaro;2016;227
San Blas/Canillejas;2016;271
Barajas;2016;209
Otras zonas;2016;3
